,end_time,altitude_loss,max_altitude,start_time,count,altitude_gain,exercise_custom_type,duration,deviceuuid,max_heart_rate,max_rpm,mean_heart_rate,pkg_name,max_cadence,time_offset,mean_caloricburn_rate,incline_distance,exercise_type,decline_distance,max_speed,mean_power,max_power,mean_rpm,calorie,mean_cadence,mean_speed,update_time,min_altitude,min_heart_rate,count_type,live_data,max_caloricburn_rate,custom,comment,additional,distance,datauuid,create_time
0,2018-04-07 17:40:40.673,,,2018-04-07 17:26:10.149,,,,870524,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0300,,,1001,,1.5885261,,,,58.42,0.0,1.2577536,2018-04-07 17:41:42.416,,0.0,,009c4899-f8fb-c887-294a-045dcce7c880.live_data.json,,,,,1008.61,009c4899-f8fb-c887-294a-045dcce7c880,2018-04-07 17:41:42.416
1,2018-01-27 10:08:00.000,,,2018-01-27 09:38:00.000,0.0,,,1800000,jQfnryI8/B,,,,com.sec.android.app.shealth,,UTC-0400,,,14001,,,,,,252.0,,0.0,2018-01-27 10:09:23.176,,,30004.0,,,,,,0.0,013f807f-0b24-45da-9df7-446c2e297a4f,2018-01-27 10:08:40.225
2,2018-05-01 18:12:20.915,,,2018-05-01 18:01:24.059,,,,656856,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0300,,,1001,,1.5717832,,,,43.85,0.0,1.3231115,2018-05-01 18:13:21.374,,0.0,,020502c3-3cc7-8d33-f7bc-2d8e27609a47.live_data.json,,,,,765.12,020502c3-3cc7-8d33-f7bc-2d8e27609a47,2018-05-01 18:13:21.374
3,2018-02-24 13:50:02.929,,,2018-02-24 13:35:13.243,,,,889686,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0400,,,11007,,,,,,166.074,0.0,,2018-02-24 13:52:08.229,,0.0,,0282b74e-1956-64c6-8ac9-5c44afdcb6c1.live_data.json,,,,,,0282b74e-1956-64c6-8ac9-5c44afdcb6c1,2018-02-24 13:52:08.229
4,2018-03-16 17:25:39.584,,,2018-03-16 17:15:20.192,,,,619392,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0300,,,1001,,1.6111111999999999,,,,42.63,0.0,1.4130359,2018-03-16 17:26:39.581,,0.0,,02c7f233-9af6-3288-e412-21747dcd9a98.live_data.json,,,,,741.5210000000001,02c7f233-9af6-3288-e412-21747dcd9a98,2018-03-16 17:26:39.581
5,2018-05-01 17:46:01.000,,,2018-05-01 17:35:24.000,,,,637979,jQfnryI8/B,,,,com.sec.android.app.shealth,,UTC-0300,,,1001,,3.5833333,,,,66.03,,1.5214292999999999,2018-05-01 17:47:03.661,,,,03982792-daba-4975-9382-325228d57e84.live_data.json,,,,,970.64,03982792-daba-4975-9382-325228d57e84,2018-05-01 17:47:03.661
6,2018-03-16 08:01:07.000,,,2018-03-16 07:50:10.000,,,,657513,jQfnryI8/B,,,,com.sec.android.app.shealth,,UTC-0300,,,1001,,2.6944444,,,,56.329997999999996,,1.3311828,2018-03-16 08:04:32.061,,,,0422c7e0-3636-478e-a11d-08a68edcb970.live_data.json,,,,,875.27,0422c7e0-3636-478e-a11d-08a68edcb970,2018-03-16 08:04:32.061
7,2017-12-29 16:41:21.980,,,2017-12-29 15:32:24.297,,,,4135515,F/D7+hL5E5,220.0,,140.0,com.sec.android.app.shealth,0.0,UTC-0700,,0.0,0,0.0,,,,,366.661,0.0,0.0,2017-12-30 12:01:22.159,,79.0,,05012792-1bd2-9582-a99d-2bbfa48d99da.live_data.json,,,,,0.0,05012792-1bd2-9582-a99d-2bbfa48d99da,2017-12-29 16:41:22.192
8,2018-02-28 08:04:01.482,,,2018-02-28 07:53:46.739,,,,614743,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0400,,,1001,,1.75,,,,49.23,0.0,1.5856393999999998,2018-02-28 08:05:02.244,,0.0,,05daffcd-f6da-ea4c-ab78-80a7e748c324.live_data.json,,,,,801.9689999999999,05daffcd-f6da-ea4c-ab78-80a7e748c324,2018-02-28 08:05:02.244
9,2018-04-22 08:58:38.605,,,2018-04-22 08:38:52.862,,,,1185743,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0300,,,1001,,1.7222221999999998,,,,76.54,0.0,1.2923905,2018-04-22 08:59:40.391,,0.0,,08f0454f-58f2-2a4b-b4ab-50bd261a6c85.live_data.json,,,,,1333.693,08f0454f-58f2-2a4b-b4ab-50bd261a6c85,2018-04-22 08:59:40.391
10,2018-02-22 18:57:23.184,,-112.719,2018-02-22 17:27:10.491,,,,4614539,F/D7+hL5E5,168.0,,143.0,com.sec.android.app.shealth,0.0,UTC-0400,,725.18,1001,801.414,4.5280000000000005,,,,467.89099999999996,0.0,1.3613271999999998,2018-02-22 19:03:38.794,-138.032,92.0,,09bdf298-4f39-64f3-1c5d-a97ab5fc59bc.live_data.json,,,,,6279.134,09bdf298-4f39-64f3-1c5d-a97ab5fc59bc,2018-02-22 18:57:23.498
11,2018-03-23 09:44:04.809,,,2018-03-23 09:15:39.532,,,,1705277,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0300,,,1001,,1.5555556000000001,,,,119.51,0.0,1.2192038,2018-03-23 09:45:05.417,,0.0,,0a00c3e2-84a0-54c3-e74f-ca71a564a0d7.live_data.json,,,,,2045.67,0a00c3e2-84a0-54c3-e74f-ca71a564a0d7,2018-03-23 09:45:05.417
12,2018-02-26 07:53:52.089,,,2018-02-26 07:38:56.435,,,,895654,F/D7+hL5E5,0.0,,0.0,com.sec.android.app.shealth,0.0,UTC-0400,,,1001,,1.7222221999999998,,,,59.14,0.0,1.4293528999999998,2018-02-26 07:54:53.241,,0.0,,0a2e8d1e-6b9b-3b23-dea0-3d1a1a4a9378.live_data.json,,,,,980.8589999999999,0a2e8d1e-6b9b-3b23-dea0-3d1a1a4a9378,2018-02-26 07:54:53.241
